T1,T2,Goff-Gratch,HylandWexler,Tetens,Magnus,JiLiFormual,Buck,time
0,0,100,100,100,100,100,100,'2021/8/31 8:36:31
0,0,100,100,100,100,100,100,'2021/8/31 8:36:45
0,0,100,100,100,100,100,100,'2021/8/31 8:36:49
0,0,100,100,100,100,100,100,'2021/8/31 8:36:53
0,0,100,100,100,100,100,100,'2021/8/31 8:36:57
0,0,100,100,100,100,100,100,'2021/8/31 8:37:01
0,0,100,100,100,100,100,100,'2021/8/31 8:37:05
0,0,100,100,100,100,100,100,'2021/8/31 8:37:09
0,0,100,100,100,100,100,100,'2021/8/31 8:37:13
0,0,100,100,100,100,100,100,'2021/8/31 8:37:17
0,0,100,100,100,100,100,100,'2021/8/31 8:37:21
0,0,100,100,100,100,100,100,'2021/8/31 8:37:25
0,0,100,100,100,100,100,100,'2021/8/31 8:37:29
0,0,100,100,100,100,100,100,'2021/8/31 8:37:33
0,0,100,100,100,100,100,100,'2021/8/31 8:37:37
0,0,100,100,100,100,100,100,'2021/8/31 8:37:41
0,0,100,100,100,100,100,100,'2021/8/31 8:37:45
0,0,100,100,100,100,100,100,'2021/8/31 8:37:49
0,0,100,100,100,100,100,100,'2021/8/31 8:37:53
0,0,100,100,100,100,100,100,'2021/8/31 8:37:57
0,0,100,100,100,100,100,100,'2021/8/31 8:38:01
0,0,100,100,100,100,100,100,'2021/8/31 8:38:05
0,0,100,100,100,100,100,100,'2021/8/31 8:38:09
0,0,100,100,100,100,100,100,'2021/8/31 8:38:13
0,0,100,100,100,100,100,100,'2021/8/31 8:38:17
0,0,100,100,100,100,100,100,'2021/8/31 8:38:21
0,0,100,100,100,100,100,100,'2021/8/31 8:38:25
0,0,100,100,100,100,100,100,'2021/8/31 8:38:29
0,0,100,100,100,100,100,100,'2021/8/31 8:38:36
0,0,100,100,100,100,100,100,'2021/8/31 8:38:40
0,0,100,100,100,100,100,100,'2021/8/31 8:38:46
0,0,100,100,100,100,100,100,'2021/8/31 8:38:50
0,0,100,100,100,100,100,100,'2021/8/31 8:38:56
0,0,100,100,100,100,100,100,'2021/8/31 8:39:00
0,0,100,100,100,100,100,100,'2021/8/31 8:39:06
0,0,100,100,100,100,100,100,'2021/8/31 8:39:10
0,0,100,100,100,100,100,100,'2021/8/31 8:39:16
0,0,100,100,100,100,100,100,'2021/8/31 8:39:20
0,0,100,100,100,100,100,100,'2021/8/31 8:39:26
0,0,100,100,100,100,100,100,'2021/8/31 8:39:30
0,0,100,100,100,100,100,100,'2021/8/31 8:39:36
0,0,100,100,100,100,100,100,'2021/8/31 8:39:40
0,0,100,100,100,100,100,100,'2021/8/31 8:39:46
0,0,100,100,100,100,100,100,'2021/8/31 8:39:50
0,0,100,100,100,100,100,100,'2021/8/31 8:39:56
0,0,100,100,100,100,100,100,'2021/8/31 8:40:00
0,0,100,100,100,100,100,100,'2021/8/31 8:40:06
0,0,100,100,100,100,100,100,'2021/8/31 8:40:10
0,0,100,100,100,100,100,100,'2021/8/31 8:40:16
0,0,100,100,100,100,100,100,'2021/8/31 8:40:20
0,0,100,100,100,100,100,100,'2021/8/31 8:40:26
0,0,100,100,100,100,100,100,'2021/8/31 8:40:30
0,0,100,100,100,100,100,100,'2021/8/31 8:40:36
0,0,100,100,100,100,100,100,'2021/8/31 8:40:40
0,0,100,100,100,100,100,100,'2021/8/31 8:40:46
0,0,100,100,100,100,100,100,'2021/8/31 8:40:50
0,0,100,100,100,100,100,100,'2021/8/31 8:40:56
0,0,100,100,100,100,100,100,'2021/8/31 8:41:00
0,0,100,100,100,100,100,100,'2021/8/31 8:41:06
0,0,100,100,100,100,100,100,'2021/8/31 8:41:10
0,0,100,100,100,100,100,100,'2021/8/31 8:41:16
0,0,100,100,100,100,100,100,'2021/8/31 8:41:20
0,0,100,100,100,100,100,100,'2021/8/31 8:41:26
0,0,100,100,100,100,100,100,'2021/8/31 8:41:30
0,0,100,100,100,100,100,100,'2021/8/31 8:41:36
0,0,100,100,100,100,100,100,'2021/8/31 8:41:40
0,0,100,100,100,100,100,100,'2021/8/31 8:41:46
0,0,100,100,100,100,100,100,'2021/8/31 8:41:50
0,0,100,100,100,100,100,100,'2021/8/31 8:41:54
0,0,100,100,100,100,100,100,'2021/8/31 8:42:00
0,0,100,100,100,100,100,100,'2021/8/31 8:42:04
0,0,100,100,100,100,100,100,'2021/8/31 8:42:10
0,0,100,100,100,100,100,100,'2021/8/31 8:42:14
0,0,100,100,100,100,100,100,'2021/8/31 8:42:20
0,0,100,100,100,100,100,100,'2021/8/31 8:42:24
0,0,100,100,100,100,100,100,'2021/8/31 8:42:30
0,0,100,100,100,100,100,100,'2021/8/31 8:42:34
0,0,100,100,100,100,100,100,'2021/8/31 8:42:41
0,0,100,100,100,100,100,100,'2021/8/31 8:42:45
0,0,100,100,100,100,100,100,'2021/8/31 8:42:51
0,0,100,100,100,100,100,100,'2021/8/31 8:42:55
0,0,100,100,100,100,100,100,'2021/8/31 8:43:01
0,0,100,100,100,100,100,100,'2021/8/31 8:43:05
0,0,100,100,100,100,100,100,'2021/8/31 8:43:11
0,0,100,100,100,100,100,100,'2021/8/31 8:43:15
0,0,100,100,100,100,100,100,'2021/8/31 8:43:21
0,0,100,100,100,100,100,100,'2021/8/31 8:43:25
0,0,100,100,100,100,100,100,'2021/8/31 8:43:31
0,0,100,100,100,100,100,100,'2021/8/31 8:43:35
0,0,100,100,100,100,100,100,'2021/8/31 8:43:41
0,0,100,100,100,100,100,100,'2021/8/31 8:43:45
0,0,100,100,100,100,100,100,'2021/8/31 8:43:51
0,0,100,100,100,100,100,100,'2021/8/31 8:43:55
0,0,100,100,100,100,100,100,'2021/8/31 8:44:01
0,0,100,100,100,100,100,100,'2021/8/31 8:44:05
0,0,100,100,100,100,100,100,'2021/8/31 8:44:11
0,0,100,100,100,100,100,100,'2021/8/31 8:44:15
0,0,100,100,100,100,100,100,'2021/8/31 8:44:21
0,0,100,100,100,100,100,100,'2021/8/31 8:44:25
0,0,100,100,100,100,100,100,'2021/8/31 8:44:31
0,0,100,100,100,100,100,100,'2021/8/31 8:44:35
0,0,100,100,100,100,100,100,'2021/8/31 8:44:41
0,0,100,100,100,100,100,100,'2021/8/31 8:44:45
0,0,100,100,100,100,100,100,'2021/8/31 8:44:51
0,0,100,100,100,100,100,100,'2021/8/31 8:44:55
0,0,100,100,100,100,100,100,'2021/8/31 8:45:01
0,0,100,100,100,100,100,100,'2021/8/31 8:45:05
0,0,100,100,100,100,100,100,'2021/8/31 8:45:11
0,0,100,100,100,100,100,100,'2021/8/31 8:45:15
0,0,100,100,100,100,100,100,'2021/8/31 8:45:21
0,0,100,100,100,100,100,100,'2021/8/31 8:45:25
0,0,100,100,100,100,100,100,'2021/8/31 8:45:31
0,0,100,100,100,100,100,100,'2021/8/31 8:45:35
0,0,100,100,100,100,100,100,'2021/8/31 8:45:41
0,0,100,100,100,100,100,100,'2021/8/31 8:45:45
0,0,100,100,100,100,100,100,'2021/8/31 8:45:51
0,0,100,100,100,100,100,100,'2021/8/31 8:45:55
0,0,100,100,100,100,100,100,'2021/8/31 8:46:01
0,0,100,100,100,100,100,100,'2021/8/31 8:46:05
0,0,100,100,100,100,100,100,'2021/8/31 8:46:11
0,0,100,100,100,100,100,100,'2021/8/31 8:46:15
0,0,100,100,100,100,100,100,'2021/8/31 8:46:21
0,0,100,100,100,100,100,100,'2021/8/31 8:46:25
0,0,100,100,100,100,100,100,'2021/8/31 8:46:31
0,0,100,100,100,100,100,100,'2021/8/31 8:46:35
0,0,100,100,100,100,100,100,'2021/8/31 8:46:42
0,0,100,100,100,100,100,100,'2021/8/31 8:46:46
0,0,100,100,100,100,100,100,'2021/8/31 8:46:52
0,0,100,100,100,100,100,100,'2021/8/31 8:46:56
0,0,100,100,100,100,100,100,'2021/8/31 8:47:02
0,0,100,100,100,100,100,100,'2021/8/31 8:47:06
0,0,100,100,100,100,100,100,'2021/8/31 8:47:12
0,0,100,100,100,100,100,100,'2021/8/31 8:47:16
0,0,100,100,100,100,100,100,'2021/8/31 8:47:22
0,0,100,100,100,100,100,100,'2021/8/31 8:47:26
0,0,100,100,100,100,100,100,'2021/8/31 8:47:32
0,0,100,100,100,100,100,100,'2021/8/31 8:47:36
0,0,100,100,100,100,100,100,'2021/8/31 8:47:42
0,0,100,100,100,100,100,100,'2021/8/31 8:47:46
0,0,100,100,100,100,100,100,'2021/8/31 8:47:52
0,0,100,100,100,100,100,100,'2021/8/31 8:47:56
0,0,100,100,100,100,100,100,'2021/8/31 8:48:02
0,0,100,100,100,100,100,100,'2021/8/31 8:48:06
0,0,100,100,100,100,100,100,'2021/8/31 8:48:10
0,0,100,100,100,100,100,100,'2021/8/31 8:48:16
0,0,100,100,100,100,100,100,'2021/8/31 8:48:20
0,0,100,100,100,100,100,100,'2021/8/31 8:48:26
0,0,100,100,100,100,100,100,'2021/8/31 8:48:30
0,0,100,100,100,100,100,100,'2021/8/31 8:48:36
0,0,100,100,100,100,100,100,'2021/8/31 8:48:40
0,0,100,100,100,100,100,100,'2021/8/31 8:48:46
0,0,100,100,100,100,100,100,'2021/8/31 8:48:50
