T1,T2,RH,time
19.99,17.62,79.07,'2021/12/9 9:23:38
19.99,17.56,79.21,'2021/12/9 9:23:39
20,17.59,78.93,'2021/12/9 9:23:40
19.99,17.59,79.23,'2021/12/9 9:23:41
20.02,17.59,79.21,'2021/12/9 9:23:42
19.99,17.59,79.21,'2021/12/9 9:23:43
19.99,17.59,79.06,'2021/12/9 9:23:44
20.02,17.59,78.95,'2021/12/9 9:23:45
19.99,17.62,79.23,'2021/12/9 9:23:46
19.99,17.59,79.04,'2021/12/9 9:23:47
19.99,17.62,79.49,'2021/12/9 9:23:48
19.99,17.59,79.49,'2021/12/9 9:23:49
19.99,17.62,79.03,'2021/12/9 9:23:50
19.97,17.59,79.21,'2021/12/9 9:23:51
19.99,17.62,78.95,'2021/12/9 9:23:52
19.99,17.62,79.23,'2021/12/9 9:23:53
20.02,17.6,79.23,'2021/12/9 9:23:54
20.02,17.59,79.23,'2021/12/9 9:23:55
19.99,17.59,79.07,'2021/12/9 9:23:56
20.02,17.62,79.21,'2021/12/9 9:23:57
20.02,17.59,79.49,'2021/12/9 9:23:58
20.02,17.59,79,'2021/12/9 9:23:59
20,17.62,79.48,'2021/12/9 9:24:00
19.99,17.59,79.23,'2021/12/9 9:24:01
19.99,17.62,79.21,'2021/12/9 9:24:02
19.99,17.62,79.23,'2021/12/9 9:24:03
19.99,17.62,79.15,'2021/12/9 9:24:04
20.02,17.59,79.49,'2021/12/9 9:24:05
19.99,17.62,78.99,'2021/12/9 9:24:06
19.99,17.6,78.95,'2021/12/9 9:24:07
19.99,17.62,79.15,'2021/12/9 9:24:08
19.99,17.62,79.21,'2021/12/9 9:24:09
20.02,17.62,79.49,'2021/12/9 9:24:10
20.02,17.62,79.21,'2021/12/9 9:24:11
19.99,17.62,79.66,'2021/12/9 9:24:12
19.99,17.6,79.32,'2021/12/9 9:24:13
19.99,17.62,79.49,'2021/12/9 9:24:14
19.99,17.59,79.49,'2021/12/9 9:24:15
20.02,17.62,79.21,'2021/12/9 9:24:16
20.02,17.61,79.13,'2021/12/9 9:24:17
19.99,17.62,79.05,'2021/12/9 9:24:18
20.02,17.62,78.95,'2021/12/9 9:24:19
19.99,17.59,79.44,'2021/12/9 9:24:20
20.02,17.63,79.23,'2021/12/9 9:24:21
20.02,17.59,79.23,'2021/12/9 9:24:22
20.02,17.59,79.49,'2021/12/9 9:24:23
20.02,17.59,78.95,'2021/12/9 9:24:24
20.02,17.66,78.75,'2021/12/9 9:24:25
20.02,17.62,79.04,'2021/12/9 9:24:26
20.02,17.62,78.96,'2021/12/9 9:24:27
20.02,17.62,78.98,'2021/12/9 9:24:28
20.02,17.62,79.23,'2021/12/9 9:24:29
20.06,17.62,78.99,'2021/12/9 9:24:31
20.02,17.59,79.01,'2021/12/9 9:24:32
20.02,17.59,79.19,'2021/12/9 9:24:33
20.02,17.62,78.85,'2021/12/9 9:24:34
20.05,17.62,78.96,'2021/12/9 9:24:35
20.06,17.61,79.09,'2021/12/9 9:24:36
20.02,17.62,78.96,'2021/12/9 9:24:37
20.06,17.62,79.08,'2021/12/9 9:24:38
20.06,17.6,78.96,'2021/12/9 9:24:39
20.06,17.62,79.19,'2021/12/9 9:24:40
20.06,17.59,79.24,'2021/12/9 9:24:41
20.06,17.62,79.23,'2021/12/9 9:24:42
20.06,17.66,78.68,'2021/12/9 9:24:43
20.06,17.62,78.68,'2021/12/9 9:24:44
20.06,17.62,79.24,'2021/12/9 9:24:45
